,Pozible,ACF,Kickstarter,Indiegogo,My Cause,Chuffed,Start Some Good
Fundraising Model,All or Nothing,Flexible Funding,All or Nothing,Flexible Funding,Flexible Funding,Flexible Funding,All or Nothing
Focus Area,Creative & Community,Creative,Creative,Tech & Games,Charity & Cause,Charity & Cause,Charity & Cause
Transaction Fees,1.75% - 2.4% + 30c,0.68% + 35 - 60c,3-5%,3% + 30c,2.9%,2.0% - 2.9%+ 30c,1.75% - 2.9% + 30c
Service Fee,3-5%,5%,5%,5%,5%,0%,5%
100% Australian owned & Operated,Yes,Yes,No,No,Yes,No,Yes
Mobile Friendly,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Automatic DGR receipts,Yes,Yes,No,No,Yes,Yes,Yes
Facebook Pixel Integration,No,No,No,Yes,No,No,No
Google analytics Integration,No,Yes,Yes,Yes,No,No,No
Paypal Integration,Yes,Yes,No,No,Yes,Yes,No
Project Approval < 24 hours,Yes,No,No,Yes,No,Yes,No
Guest Checkout,No,Yes,Yes,Yes,No,Yes,Yes
